source,network_id,n_controls,total_Q,runtime_exact_s,runtime_stoch_s,iters_exact,iters_stoch,binary_work,nary_work,work_speedup,est_nary_runtime_s
b1r1,12,14,45,1.511216,13.275392,1105,9930,199,100,1.9900,0.7594
b1r1,13,12,35,87.846280,19.576860,49500,45000,160,96,1.6667,52.7078
b1r1,14,14,34,0.817447,5.287508,797,5429,150,76,1.9737,0.4142
b1r1,15,14,45,5.242117,85.388160,3825,104395,238,97,2.4536,2.1365
b1r1,16,10,27,97.297677,37.549947,102371,71000,96,71,1.3521,71.9597
b1r1,17,12,37,114.566075,77.729799,74213,151000,149,120,1.2417,92.2680
b1r1,18,10,20,62.498131,10.675542,56500,46000,84,37,2.2703,27.5289
b1r1,19,10,32,0.601138,23.498923,715,44020,116,77,1.5065,0.3990
b1r1,20,10,24,99.241630,40.301264,84500,89500,96,70,1.3714,72.3637
b1r1,21,11,25,90.566715,22.868214,79000,69000,93,57,1.6316,55.5086
b1r1,22,13,42,6.455938,139.023294,5334,139673,181,138,1.3116,4.9222
